Model,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory
X-2239,encorafenib,BRAF,single,81,26,26.42,13,30.38613861,47,PD
X-2239,LJC049,TNKS,single,237.4,24,40.875,13,14.34005764,36,PD
X-2239,binimetinib,"MAP2K1,MAP2K2,MAPK",single,-20.5,9,-10.56,14,64.18282548,78,SD-->PD
X-2239,untreated,"UNKNOWN,Untreated",single,115.5,21,29.66,13,19.05764411,43,PD
X-2239,LFW527 + binimetinib,"IGF1R,MAP2K1,MAP2K2",combo,83.4,26,18.425,12,27.06183369,36,PD
X-2283,abraxane,Tubulin,single,376.3,16,115.72,13,7.825,16,PD
X-2283,abraxane + gemcitabine,"Tubulin,chemotherapy",combo,169.5,23,47.86,14,13.77088305,27,PD
X-2283,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,273.5,17,71.3,13,10.05641026,17,PD
X-2283,BYL719,PIK3CA,single,222.8,20,94.1,14,6.849162011,32,PD
X-2283,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,177.6,20,95,14,6.96868476,32,PD
X-2283,HDM201,MDM2,single,93.9,20,97.16666667,20,10.19224806,32,PD
X-2283,gemcitabine-50mpk,chemotherapy,single,194.6,20,48.9,11,11.26728111,31,PD
X-2283,INC424,JAK,single,194.9,24,41.3,11,10.91413238,39,PD
X-2283,INC424 + binimetinib,"JAK,MAPK",combo,276.7,24,58.46666667,14,12.55,28,PD
X-2283,LEE011,"CDK4,CDK6,CDK4/6",single,277.8,20,42.64,13,11.26446281,23,PD
X-2283,WNT974,PORCN,single,275.1,16,87.8,13,7.932668329,16,PD
X-2283,LKA136,"NTRK1,NTRK2,NTRK3",single,202,20,61.7,13,10.57723577,29,PD
X-2283,binimetinib-3.5mpk,MAPK,single,465.3,20,134.82,13,2,22,PD
X-2283,trametinib,MAPK,single,311.4,25,24.96,13,12.74919614,39,PD
X-2306,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,8.1,12,0.65,12,32,32,SD-->PD
X-2306,BKM120 + encorafenib,"panPI3K,BRAF,BRAF,PIK3CA,PIK3CB,PIK3CG,PIK3CD",combo,91.7,20,16.225,13,23.16190476,27,PD
X-2306,CGM097,MDM2,single,-47,17,-26.81428571,22,22,22,SD
X-2306,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,0.1,13,-0.525,13,31,31,SD-->PD
X-2306,dacarbazine,chemotherapy,single,-9.7,13,-8.625,13,41,41,SD-->PD
X-2306,LDE225,SMO,single,47.3,25,11.25,12,32,32,PD
X-2306,LDK378,ALK,single,76.8,22,23.04,12,27.89552239,29,PD
X-2306,LEE011,"CDK4,CDK6,CDK4/6",single,3.5,23,0.35,11,99,99,SD-->PD
X-2306,LEE011 + encorafenib,"CDK4/6,BRAF,BRAF,CDK4,CDK6",combo,5,55,-3.9,13,68,68,SD-->PD
X-2306,LEE011 + binimetinib,"CDK4,CDK6,MAP2K1,MAP2K2,CDK4/6,MAPK",combo,-55.1,50,-36.11304348,165,201,201,PR
X-2306,WNT974,PORCN,single,134.2,20,59.12,14,11.3592233,27,PD
X-2306,LGW813,IAP,single,41.8,21,9.825,12,26.70930233,32,PD
X-2306,encorafenib,BRAF,single,145.4,20,26.675,12,15.90990991,28,PD
X-2306,encorafenib + binimetinib,"BRAF,MAP2K1,MAP2K2,MAPK",combo,-21.9,24,-9.657142857,24,68,68,SD-->PD
X-2306,binimetinib,"MAP2K1,MAP2K2,MAPK",single,-6.7,19,-5.525,11,32,32,SD-->PD
X-2306,TAS266,DR5,single,153.5,22,18.48,14,18.98761261,30,PD
X-2306,untreated,"UNKNOWN,Untreated",single,241.6,20,62,12,8.54109589,27,PD
X-2339,abraxane,Tubulin,single,148,21,48.6,11,14.47169811,32,PD
X-2339,abraxane + gemcitabine,"Tubulin,chemotherapy",combo,48.6,23,17.88,13,33.80851064,69,PD
X-2339,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,19.4,80,20.02,14,24.52669039,80,SD-->PD
X-2339,BKM120 + binimetinib,"panPI3K,MAPK,MAP2K1,MAP2K2,PIK3CA,PIK3CB,PIK3CG,PIK3CD",combo,-70.5,89,-45.38571429,99,99,99,PR
X-2339,BYL719,PIK3CA,single,-8.6,13,-4.016666667,17,68.97520661,69,SD-->PD
X-2339,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,8.4,11,2.1,11,62.69318182,63,SD-->PD
X-2339,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,-43.9,13,-26.98571429,20,51,51,SD-->PD
X-2339,HDM201,MDM2,single,55.9,20,9.94,13,26.27118644,55,PD
X-2339,figitumumab,IGF1R,single,39.4,26,29.125,12,42.36363636,92,PD
X-2339,figitumumab + binimetinib,"IGF1R,MAPK",combo,-36.9,70,-13.48,70,86,86,SD-->PD
X-2339,gemcitabine-50mpk,chemotherapy,single,48.4,32,21.75,12,33.86731001,78,PD
X-2339,INC424,JAK,single,41.9,21,4.575,11,63,63,PD
X-2339,INC424 + binimetinib,"JAK,MAPK",combo,-39,62,-15.38571429,72,72,72,SD
X-2339,LEE011,"CDK4,CDK6,CDK4/6",single,3.3,64,7.18,12,89,89,SD-->PD
X-2339,WNT974,PORCN,single,-37.2,10,-17.1875,21,21,21,SD
X-2339,LKA136,"NTRK1,NTRK2,NTRK3",single,154.4,23,24.04,12,16.17234262,58,PD
X-2339,binimetinib,"MAP2K1,MAP2K2,MAPK",single,-44.7,82,-11.15357143,99,99,99,SD
X-2339,binimetinib-3.5mpk,MAPK,single,-70.4,84,-30.00344828,101,101,101,PR
X-2339,trametinib,MAPK,single,-45.8,84,-8.4,33,91,91,SD-->PD
X-2339,untreated,"UNKNOWN,Untreated",single,35,21,12.1,13,36.5,91,PD
X-2344,BGJ398,FGFR,single,153,24,53.82,18,13.71631206,31,PD
X-2344,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,-41.3,29,-15.69166667,43,43,43,SD
X-2344,BYL719,PIK3CA,single,245.8,22,48.825,11,10.47701149,25,PD
X-2344,BYL719 + LEE011,"PIK3CA,CDK4/6",combo,-46.8,15,-35.32857143,25,88,88,SD-->PD
X-2344,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,-28.5,15,-13.86,15,28.92485549,46,SD-->PD
X-2344,CGM097,MDM2,single,492.6,18,132.3,11,4.881553398,18,PD
X-2344,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,143.6,22,23.225,11,17.49438202,33,PD
X-2344,HDM201,MDM2,single,350,22,87.475,11,5.779128673,25,PD
X-2344,INC424,JAK,single,488.4,22,96.1,11,6.449809403,25,PD
X-2344,LEE011,"CDK4,CDK6,CDK4/6",single,147.4,20,52.7,13,14.88047809,20,PD
X-2344,LEE011 + everolimus,"CDK4,CDK6,MTOR,CDK4/6",combo,-38.3,13,-21.2,24,24,24,SD
X-2344,LFA102,PRLR,single,217.1,21,48.88,14,12.19075145,24,PD
X-2344,LJM716,ERBB3,single,-22.5,10,-13.88,13,27,27,SD
X-2344,LJM716 + trastuzumab,"ERBB3,ERBB2",combo,-92.1,28,-27.4,28,28,28,PR
X-2344,LKA136,"NTRK1,NTRK2,NTRK3",single,706.9,18,216.475,11,4,18,PD
X-2344,LLM871,FGFR2/4,single,270,21,78.12,13,8.081145585,34,PD
X-2344,binimetinib,"MAP2K1,MAP2K2,MAPK",single,298.2,18,111.625,11,4,18,PD
X-2344,paclitaxel,Tubulin,single,345.5,21,69.5,14,10.95017381,24,PD
X-2344,tamoxifen,ESR1,single,432.9,18,62.86,11,8.74439157,18,PD
X-2344,trastuzumab,ERBB2,single,110.3,24,14.02,14,19.82178218,24,PD
X-2344,untreated,"UNKNOWN,Untreated",single,276.1,13,113.1,13,6.976851852,13,PD
X-2344,LFW527 + everolimus,"IGF1R,MTOR",combo,-18.5,20,-8.8,24,67.70588235,76,SD-->PD
X-2353,BGJ398,FGFR,single,99,21,33.96,14,21.08797654,91,PD
X-2353,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,92.6,21,21.84,14,24.20454545,84,PD
X-2353,BYL719,PIK3CA,single,-6.9,10,-5.12,14,50.9787234,91,SD-->PD
X-2353,BYL719 + LEE011,"PIK3CA,CDK4/6",combo,2.7,84,3.275,11,95,95,SD
X-2353,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,45.8,14,52.64,14,8.981949458,14,PD
X-2353,CGM097,MDM2,single,94.3,21,23.74,14,21.58361775,70,PD
X-2353,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,48.8,26,8.25,11,36,74,PD
X-2353,HDM201,MDM2,single,140.7,21,27.84,14,15.74114441,56,PD
X-2353,INC424,JAK,single,78.5,26,18.775,11,30.79781421,88,PD
X-2353,LEE011,"CDK4,CDK6,CDK4/6",single,-7.2,11,-9.15,11,116,116,SD-->PD
X-2353,LEE011 + everolimus,"CDK4,CDK6,MTOR,CDK4/6",combo,-18.8,11,-11.35,17,95,95,SD
X-2353,LFA102,PRLR,single,79.6,22,20.275,13,24.11188811,35,PD
X-2353,LJM716,ERBB3,single,-19.2,14,-12.6,14,70.84,92,SD-->PD
X-2353,LJM716 + trastuzumab,"ERBB3,ERBB2",combo,20.1,13,13.68,13,38.30588235,91,SD-->PD
X-2353,LKA136,"NTRK1,NTRK2,NTRK3",single,59.7,26,8.525,11,30.46979866,74,PD
X-2353,LLM871,FGFR2/4,single,66.5,21,21.3,14,26.87719298,77,PD
X-2353,binimetinib,"MAP2K1,MAP2K2,MAPK",single,1.4,56,10,11,76.75,88,SD-->-->PD
X-2353,paclitaxel,Tubulin,single,16.6,10,13.575,13,71.02,91,SD-->PD
X-2353,tamoxifen,ESR1,single,153.5,21,47.44,14,13.8053528,56,PD
X-2353,trastuzumab,ERBB2,single,201.2,22,42.7,13,14.34621849,49,PD
X-2353,untreated,"UNKNOWN,Untreated",single,131.1,21,32.36,14,16.33823529,56,PD
X-2353,LFW527 + everolimus,"IGF1R,MTOR",combo,-45.9,28,-15.92307692,41,136.6245955,157,SD-->PD
X-2374,5FU,chemotherapy,single,18,10,15.14,16,47.80263158,92,SD-->PD
X-2374,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,-79.1,43,5.62,16,37.07692308,43,SD-->PD
X-2374,BKM120 + LJC049,"panPI3K,TNKS",combo,107.3,24,31.3,14,21.43859649,28,PD
X-2374,BYL719,PIK3CA,single,136.9,21,25.2,14,18.41052632,42,PD
X-2374,BYL719 + cetuximab,"PIK3CA,EGFR",combo,54.7,23,27.375,12,51.02777778,89,PD
X-2374,BYL719 + cetuximab + encorafenib,"PIK3CA,EGFR,BRAF",combo,91.1,23,28.8,12,23.7994012,33,PD
X-2374,BYL719 + encorafenib,"PIK3CA,BRAF",combo,85.8,31,20.34,14,27.2516129,63,PD
X-2374,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,58.5,21,11.325,14,22.23757455,45,PD
X-2374,BYL719 + binimetinib,"PIK3CA,MAPK",combo,-5.8,48,9.038095238,76,89,89,SD-->-->PD
X-2374,cetuximab,EGFR,single,11.1,10,14.06,14,65.45454545,91,SD-->PD
X-2374,cetuximab + encorafenib,"EGFR,BRAF",combo,48.3,24,22.225,14,26.02944063,44,PD
X-2374,CKX620,MAPK,single,-13.4,21,-3.05,21,44,44,SD
X-2374,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,34.6,21,5.733333333,13,23.76825397,25,SD-->PD
X-2374,HDM201,MDM2,single,51.8,23,6.9,16,28,28,PD
X-2374,LEE011,"CDK4,CDK6,CDK4/6",single,6.5,23,23.95,23,91,91,SD
X-2374,encorafenib,BRAF,single,375.9,21,78.625,16,10.39617486,21,PD
X-2374,LJC049,TNKS,single,94.9,21,27.8,16,21.36778846,28,PD
X-2374,LKA136,"NTRK1,NTRK2,NTRK3",single,168.1,21,61.55,16,12.79637097,28,PD
X-2374,binimetinib,"MAP2K1,MAP2K2,MAPK",single,-3.4,63,7.133333333,23,91,91,SD-->PD
X-2374,untreated,"UNKNOWN,Untreated",single,132.2,23,26.04,14,15.95863309,35,PD
